tree,ssw,zul
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN builder_N)) (UseV drink_V)))) NoVoc,umakhi utonatsa,umakhi uzophuza
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN cow_N)) (AdvVP (UseV get_thin_V) quickly_Adv)))) NoVoc,inkhomo itokwondza masinya,inkomo izokwonda masinya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN elephant_N)) (CopNPEqSize (DetCN (DetNum NumSg) (UseN mountain_N)))))) NoVoc,indlovu itoba ngangentsaba,indlovu izoba ngangentaba
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fire_N)) (AdvVP (UseV burn_V) (PositAdvAdj bad_A))))) NoVoc,umlilo utoshisa kabi,umlilo uzoshisa kabi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fire_N)) (UseV burn_V)))) NoVoc,umlilo utoshisa,umlilo uzoshisa
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN gangster_N)) (ComplV2 break_V2 (DetCN (DetNum NumPl) (UseN window_N)))))) NoVoc,sigebengu sitokwephula emafasitelo,isigebengu sizokwephula amafasitele
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN grass_N)) (ComplVV refuse_VV (UseV burn_2_V))))) NoVoc,tjani butokwala kuvutsa,utshani buzokwala ukuvutha
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN man_N)) (AdvVP (UseV cook_V) now_Adv)))) NoVoc,indvodza itopheka manje,indoda izopheka manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN man_N)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,indvodza itobita umfana,indoda izobiza umfana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN man_N)) (ComplV2 cook_V2 (UsePron (ProDrop it15_Pron)))))) NoVoc,indvodza itokupheka,indoda izokupheka
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN messenger_N)) (ComplV2 wear_V2 (DetCN (DetNum NumPl) (UseN blanket_N)))))) NoVoc,sigijimi sitokwembatsa tingubo,isigijimi sizokwembatha izingubo
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN old_woman_N)) (AdvVP (ComplV2 cook_V2 (Deverb15 PPos (UseV eat_V))) here_Adv)))) NoVoc,salukati sitopheka kudla lapha,isalukazi sizopheka ukudla lapha
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN old_woman_N)) (AdvVPLight (ComplV2 visit_V2 (UsePron (ProDrop it17_Pron))) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN town_N)))))))) NoVoc,salukati sitokuvakashela edolobheni,isalukazi sizokuvakashela edolobheni
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN old_woman_N)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,salukati sitobita umfana,isalukazi sizobiza umfana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN old_woman_N)) (ComplV2 cook_V2 (Deverb15 PPos (UseV eat_V)))))) NoVoc,salukati sitopheka kudla,isalukazi sizopheka ukudla
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN old_woman_N)) (ComplV2 cook_V2 (UsePron (ProDrop it15_Pron)))))) NoVoc,salukati sitokupheka,isalukazi sizokupheka
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN ox_N)) (CopAP (PositA red_R))))) NoVoc,inkhabi itoba bovu,inkabi izoba bomvu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN sheep_N)) (AdvVP (UseV get_thin_V) quickly_Adv)))) NoVoc,imvu itokwondza masinya,imvu izokwonda masinya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (AdvVP (ComplV2 cook_V2 (Deverb15 PPos (UseV eat_V))) here_Adv)))) NoVoc,umfati utopheka kudla lapha,umfazi uzopheka ukudla lapha
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (AdvVP (UseV work_V) much_Adv)))) NoVoc,umfati utosebenta kakhulu,umfazi uzosebenza kakhulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,umfati utobita umfana,umfazi uzobiza umfana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (ComplV2 cook_V2 (Deverb15 PPos (UseV eat_V)))))) NoVoc,umfati utopheka kudla,umfazi uzopheka ukudla
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN woman_N)) (ComplV2 cook_V2 (UsePron (ProDrop it15_Pron)))))) NoVoc,umfati utokupheka,umfazi uzokupheka
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (Deverb15 PPos (UseV eat_V)) (CopAP (PositA nice_R))))) NoVoc,kudla kutoba mnandzi,ukudla kuzoba mnandi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (LocNNP outside_LocN) (AdvVPLight (UseV dry_V) today_Adv)))) NoVoc,phandle kutokwoma lamuhla,phandle kuzokwoma namuhla
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (LocNNP outside_LocN) (AdvVP (UseV dry_V) today_Adv)))) NoVoc,phandle kutokwoma lamuhla,phandle kuzokwoma namuhla
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (PostdetCN (UseN food_N) (QuantPostdet all_QuantStem) (DetNum NumSg)) (UseVStative end_V)))) NoVoc,kudla konkhe kutophela,ukudla konke kuzophela
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (UseN cow_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN river_N)))))))) (UseV return_V)))) NoVoc,tinkhomo letadla emifuleni titobuya,izinkomo ezadla emifuleni zizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (UseN cow_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN river_N)))))))) (UseV return_V)))) NoVoc,tinkhomo letadla emfuleni titobuya,izinkomo ezadla emfuleni zizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (UseN horse_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN river_N)))))))) (UseV return_V)))) NoVoc,emahhashi l adla emfuleni atobuya,amahhashi adla emfuleni azobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (UseN sheep_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN river_N)))))))) (UseV return_V)))) NoVoc,timvu letadla emifuleni titobuya,izimvu ezadla emifuleni zizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumPl) (UseN sheep_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN river_N)))))))) (UseV return_V)))) NoVoc,timvu letadla emfuleni titobuya,izimvu ezadla emfuleni zizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN cow_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN river_N)))))))) (UseV return_V)))) NoVoc,inkhomo leyadla emifuleni itobuya,inkomo eyadla emifuleni izobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN cow_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN river_N)))))))) (UseV return_V)))) NoVoc,inkhomo leyadla emfuleni itobuya,inkomo eyadla emfuleni izobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN horse_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (AdvVPLight (UseV eat_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN river_N)))))))) (UseV return_V)))) NoVoc,lihhashi leladla emfuleni litobuya,ihhashi eladla emfuleni lizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,utodlala nebantfwana,uzodlala nabantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV run_V) (JustLikeNPAdv (DetCN (DetNum NumSg) (UseN baboon_N))))))) NoVoc,utogijima njengemfene,uzogijima njengemfene
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,utodziniwa manje,uzokhathala manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 eat_V2 (UsePron (ProDrop he_Pron)))))) NoVoc,utomudla,uzomudla
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,utobabita bantfwana,uzobabiza abantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,utokwanga bodzadzewenu,uzokwanga odadewenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (UseN herd_boy_N)))))) NoVoc,utobona belusi,uzobona abelusi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (UseV steal_V)))) NoVoc,utokweba,uzokweba
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (ComplV2Light see_V2 (UsePron (ProDrop he_Pron))) now_Adv)))) NoVoc,ngitombona manje,ngizombona manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVPLight (UseV go_V) now_Adv)))) NoVoc,ngitohamba manje,ngizohamba manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV go_V) (NaNPAdv (DetCN (DetNum NumSg) (UseN girl_N))))))) NoVoc,ngitohamba nentfombi,ngizohamba nentombi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,ngitodlala nebantfwana,ngizodlala nabantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV run_V) (JustLikeNPAdv (DetCN (DetNum NumSg) (UseN baboon_N))))))) NoVoc,ngitogijima njengemfene,ngizogijima njengemfene
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,ngitodziniwa manje,ngizokhathala manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,ngitobita umfana,ngizobiza umfana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumSg) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,ngitokwamukela incwadzi yasekhaya,ngizokwamukela incwadi yasekhaya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2Refl hit_V2 (DetCN (DetNum NumSg) (UseN finger_N)))))) NoVoc,ngitotishaya umuno,ngizozishaya umunwe
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (AdvVPLight (UseV burn_V) outside_Adv)))) NoVoc,kutoshisa phandle,kuzoshisa phandle
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V)))) NoVoc,kutoshisa,kuzoshisa
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (AdvVP (ComplV2Nonspec wash_V2 (DetCN (DetNum NumPl) (UseN clothing_N))) when_Adv)))) NoVoc,utohlanta tembatfo nini,uzogeza izingubo nini
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (AdvVP (ComplV2Nonspec wash_V2 (DetCN (DetNum NumSg) (UseN clothing_N))) when_Adv)))) NoVoc,utohlanta sembatfo nini,uzogeza ingubo nini
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumPl) (UseN clay_pot_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,utobona tindziwo lebetitinkhulu,uzobona izinkamba ebezizinkulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumPl) (UseN clay_pot_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,utobona tindziwo letinkhulu,uzobona izinkamba ezinkulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumSg) (UseN clay_pot_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,utobona ludziwo lolukhulu,uzobona ukhamba olukhulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (UseV work_V)))) NoVoc,utosebenta,uzosebenza
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (AdvVPLight (UseV go_V) now_Adv)))) NoVoc,batohamba manje,bazohamba manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,batodziniwa manje,bazokhathala manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumPl) (UseN boy_N)))))) NoVoc,batobita bafana,bazobiza abafana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 like_V2 (PronPostdetNP (ProDrop it9_Pron) (DemPostdet that_Quant)))))) NoVoc,batotsandza leyo,bazothanda leyo
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 like_V2 (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA honest_R))))))))) NoVoc,batotsandza indvodza lecotfo,bazothanda indoda eqotho
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,batokwanga bodzadzewenu,bazokwanga odadewenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (PossNP (UseN goods_N) (UsePron youPl_Pron))))))) NoVoc,batobona timpahla tenu,bazobona izimpahla zenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (UseN herd_boy_N)))))) NoVoc,batobona belusi,bazobona abelusi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (UseV steal_V)))) NoVoc,batokweba,bazokweba
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (ComplV2Light see_V2 (UsePron (ProDrop he_Pron))) now_Adv)))) NoVoc,sitombona manje,sizombona manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,sitodlala nebantfwana,sizodlala nabantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV run_V) (JustLikeNPAdv (DetCN (DetNum NumSg) (UseN baboon_N))))))) NoVoc,sitogijima njengemfene,sizogijima njengemfene
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,sitodziniwa manje,sizokhathala manje
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV talk_V) much_Adv)))) NoVoc,sitokhuluma kakhulu,sizokhuluma kakhulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,sitobabita bantfwana,sizobabiza abantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 play_V2 (DetCN (DetNum NumPl) (UseN soccer_N)))))) NoVoc,sitodlala emabhola,sizodlala amabhola
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 play_V2 (DetCN (DetNum NumSg) (UseN soccer_N)))))) NoVoc,sitodlala libhola,sizodlala ibhola
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV return_V)))) NoVoc,sitobuya,sizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseVStative tire_2_V)))) NoVoc,sitokhatsala,sizokhathala
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,nitodlala nebantfwana,nizodlala nabantwana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,nitobita umfana,nizobiza umfana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,nitokwanga bodzadzewenu,nizokwanga odadewenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumSg) (UseN sister_N)))))) NoVoc,nitokwanga dzadzewenu,nizokwanga udadewenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 play_V2 (DetCN (DetNum NumSg) (UseN soccer_N)))))) NoVoc,nitodlala libhola,nizodlala ibhola
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 want_V2 (PostdetCN (UseN meat_N) (QuantPostdet only_QuantStem) (DetNum NumSg)))))) NoVoc,nitofuna inyama yodvwa,nizofuna inyama yodwa
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV return_V)))) NoVoc,nitobuya,nizobuya
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (AdvVP (UseV talk_V) much_Adv)))) NoVoc,utokhuluma kakhulu,uzokhuluma kakhulu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,utokwanga bodzadzewenu,uzokwanga odadewenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (PossNP (UseN goods_N) (UsePron youPl_Pron))))))) NoVoc,utobona timpahla tenu,uzobona izimpahla zenu
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseVStative tire_2_V)))) NoVoc,utokhatsala,uzokhathala
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseV steal_V)))) NoVoc,utokweba,uzokweba
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNPLoc (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,tinja tasemtini atikhonkhotsanga,izinja zasemzini azikhonkothanga
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNP (UseN dog_N) (DetCN (DetNum NumPl) (UseN village_N)))) (UseV bark_V)))) NoVoc,tinja temiti atikhonkhotsanga,izinja zemizi azikhonkothanga
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet that_Quant) old_woman_N)) (CopAP (PositA small_A))))) NoVoc,leto talukati betingetimfishane,lezo zalukazi bezingezimfuphi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet this_Quant) man_N)) (CopNPAssoc (DetCN (DetNum NumSg) (UseN wife_N)))))) NoVoc,lamadvodza abengenamfati,la madoda abengenamfazi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (ComplV2 refuse_V2 (Deverb15 PPos (UseV play_V)))))) NoVoc,bafana abelanga kudlala,abafana abelanga ukudlala
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,bafana bebengesekhaya,abafana bebengesekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (CopNP (DetCN (DetNum NumSg) (UseN student_N)))))) NoVoc,bafana bebengesitshudeni,abafana bebengeyisitshudeni
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN builder_N)) (UseV drink_V)))) NoVoc,bakhi abanetsanga,abakhi abaphuzanga
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (ComplV2 save_V2 (DetCN (DetNum NumSg) (UseN money_N)))))) NoVoc,tintfombi atonganga imali,izintombi azonganga imali
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,tintfombi betingesekhaya,izintombi bezingesekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (ComplV2Light see_V2 (DetCN (DetNum NumPl) (UseN village_N)))))) NoVoc,emadvodza awayibonanga imiti,amadoda awayibonanga imizi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN old_woman_N)) (ComplV2Light cook_V2 (DetCN (DetNum NumSg) (UseN pumpkin_porridge_N)))))) NoVoc,talukati atisiphekanga sidvudvu,izalukazi azisiphekanga isidudu
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN scholar_N)) (ComplV2 read_V2 (DetCN (DetNum NumSg) (UseN book_N)))))) NoVoc,bafundi abafundzanga incwadzi,abafundi abafundanga incwadi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN sore_N)) (AdvVP (UseV bleed_V) (PositAdvAdj bad_A))))) NoVoc,tilondza atophanga kabi,izilonda azophanga kabi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN thief_N)) (ComplV2 break_V2 (DetCN (DetNum NumPl) (UseN window_N)))))) NoVoc,emaseta awephulanga emafasitelo,amasela awephulanga amafasitele
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN water_N)) (CopLocative khona_Loc)))) NoVoc,emanti abengekhona,amanzi abengekhona
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN woman_N)) (ComplV2Light see_V2 (DetCN (DetNum NumSg) (UseN village_N)))))) NoVoc,bafati abawubonanga umuti,abafazi abawubonanga umuzi
